"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         167,      -11.92463391,       -11.8809194,      -11.68412576,      -12.24691155,      -11.35586288
          0,           0,         168,      -11.93797795,      -11.89777442,      -11.69832526,      -12.43018179,       -11.3686655
          0,           0,         169,      -11.95512824,      -11.91808496,      -11.68766027,      -12.51665691,      -11.38622866
          0,           0,         170,      -11.95775048,       -11.9204618,      -11.70068375,      -12.52986421,      -11.38742466
          0,           0,         171,       -11.9323909,      -11.88871761,      -11.70685732,      -12.35538612,      -11.36123848
          0,           0,         172,      -11.94380974,      -11.90585568,      -11.68765919,      -12.50816912,       -11.3750718
          0,           0,         173,      -11.95770411,      -11.92161246,      -11.70024068,      -12.61680226,       -11.3874715
          0,           0,         174,      -11.94880855,      -11.91112326,      -11.70761044,      -12.59135978,      -11.37784374
          0,           0,         175,      -11.93437976,      -11.89328526,      -11.70593822,       -12.4274883,      -11.36344346
          0,           0,         176,      -11.94827422,      -11.91266051,      -11.68669119,      -12.56233604,      -11.37970776
          0,           0,         177,      -11.96021728,      -11.92556529,      -11.69983912,      -12.65813988,      -11.39004246
          0,           0,         178,      -11.95071118,      -11.91409799,      -11.70746529,       -12.6162068,      -11.37977736
          0,           0,         179,      -11.93424344,      -11.89504989,      -11.70934582,      -12.46685297,      -11.36344633
          0,           0,         180,      -11.94881543,      -11.91487443,      -11.68626207,      -12.55798003,      -11.38048763
          0,           0,         181,      -11.96044642,      -11.92702066,      -11.69924947,      -12.63564954,      -11.39058186
          0,           0,         182,      -11.95140514,      -11.91578401,      -11.70717612,      -12.61544184,      -11.38065558
          0,           0,         183,      -11.93693189,      -11.89929977,      -11.70935097,      -12.50429163,      -11.36625037
          0,           0,         184,      -11.95077651,      -11.91648481,      -11.68601569,      -12.46887238,      -11.38242298
          0,           0,         185,       -11.9428798,      -11.90247598,      -11.69768816,      -12.33428937,      -11.37293993
