"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          94,       -11.2160543,       -11.1733407,      -11.34879504,      -11.12520479,      -10.60240886
          0,           0,          95,      -11.27341656,      -11.19965419,      -11.42939896,      -11.20130335,      -10.64990134
          0,           0,          96,       -11.3122918,      -11.22493442,      -11.48608858,      -11.26401957,      -10.70098656
          0,           0,          97,      -11.35556911,      -11.24857168,      -11.54548001,      -11.32345093,      -10.74220019
          0,           0,          98,      -11.39186987,      -11.25616507,      -11.58489218,      -11.36772688,       -10.7689005
          0,           0,          99,      -11.41440519,      -11.27697886,      -11.60573381,      -11.40419398,       -10.8057095
          0,           0,         100,      -11.44134509,      -11.29946627,      -11.62851074,      -11.43404568,      -10.83005817
          0,           0,         101,      -11.46555211,       -11.3142327,      -11.63285043,      -11.44807281,      -10.84380022
          0,           0,         102,      -11.48576556,      -11.34554691,      -11.63671624,      -11.46745839,      -10.87842292
          0,           0,         103,      -11.50936569,       -11.3769479,      -11.64042549,      -11.47763931,      -10.89780196
          0,           0,         104,      -11.53821009,        -11.407979,      -11.63481004,      -11.47543476,      -10.91641727
          0,           0,         105,      -11.56650412,      -11.45094984,      -11.63992208,      -11.48936228,      -10.95810897
          0,           0,         106,      -11.59878318,      -11.49729569,      -11.65304279,      -11.50515457,      -10.98684608
          0,           0,         107,      -11.64071701,      -11.54719362,      -11.66750311,      -11.52050664,      -11.01846491
          0,           0,         108,      -11.68135418,       -11.6023621,      -11.68784322,      -11.54805461,      -11.07056582
          0,           0,         109,      -11.72564879,      -11.66300816,      -11.72012011,      -11.58192834,      -11.11223085
          0,           0,         110,      -11.77980791,      -11.72624909,      -11.75499144,      -11.61852679,      -11.15695888
          0,           0,         111,       -11.8313616,      -11.78830127,       -11.7835456,      -11.65939583,      -11.21800212
          0,           0,         112,      -11.88521526,      -11.85355665,      -11.82410266,      -11.70945363,      -11.27018581
          0,           0,         113,      -11.94429903,      -11.91441485,      -11.86155376,      -11.76500151,      -11.32174874
          0,           0,         114,      -12.00086308,       -11.9674616,      -11.88328661,      -11.82509546,      -11.37592743
