"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         137,      -5.590403336,      -3.966141333,      -4.167934841,      -3.513296533,      -9.823234916
          0,           0,         138,       -5.60208138,      -3.969930742,      -4.172673033,      -3.519208421,       -9.82959716
          0,           0,         139,      -5.614831592,      -3.973647329,      -4.176815885,      -3.527702916,      -9.835849588
          0,           0,         140,      -5.631565403,      -3.977104896,      -4.180083141,      -3.541432544,      -9.841943222
          0,           0,         141,      -5.653842092,      -3.980228023,      -4.182420655,      -3.561844844,      -9.847823156
          0,           0,         142,      -5.681445419,      -3.983047841,      -4.183995926,      -3.589029152,      -9.853424002
          0,           0,         143,      -5.711820687,      -3.985673469,      -4.185136894,       -3.62135984,      -9.858701333
          0,           0,         144,      -5.739503034,       -3.98824939,      -4.186237843,      -3.654884156,      -9.863601784
          0,           0,         145,      -5.756725258,      -3.990911205,      -4.187662664,      -3.683031615,      -9.868068597
          0,           0,         146,      -5.756919232,      -3.993750243,      -4.189668944,      -3.698183041,      -9.872062094
          0,           0,         147,        -5.7395537,      -3.996793271,      -4.192364263,      -3.695924773,      -9.875532764
          0,           0,         148,       -5.71063328,      -3.999999041,       -4.19569633,      -3.678488608,      -9.878454575
          0,           0,         149,      -5.678211316,      -4.003270016,       -4.19947367,      -3.652930875,      -9.880792161
          0,           0,         150,      -5.648549579,      -4.006475143,      -4.203411373,      -3.626559401,       -9.88252933
          0,           0,         151,      -5.625310155,      -4.009478041,      -4.207194077,      -3.604422563,      -9.883668612
          0,           0,         152,      -5.610249249,      -4.012164171,      -4.210544562,      -3.589252444,      -9.884221965
          0,           0,         153,       -5.60401444,      -4.014461083,      -4.213282798,      -3.582213699,      -9.884180495
          0,           0,         154,      -5.606654184,      -4.016347623,      -4.215360424,      -3.583540791,      -9.883561213
          0,           0,         155,      -5.617869424,      -4.017851086,      -4.216861761,      -3.592892738,      -9.882409726
          0,           0,         156,      -5.637098206,      -4.019034504,      -4.217972994,      -3.609490655,       -9.88077724
          0,           0,         157,      -5.663498315,      -4.019978694,      -4.218930995,      -3.632126824,      -9.878705198
          0,           0,         158,      -5.695872093,      -4.020764314,      -4.219967767,      -3.659129214,      -9.876245543
          0,           0,         159,      -5.732582543,      -4.021458321,      -4.221264588,      -3.688383462,      -9.873428558
          0,           0,         160,       -5.77154144,      -4.022107218,      -4.222924268,      -3.717538333,      -9.870318776
          0,           0,         161,      -5.810383961,      -4.022737315,      -4.224963858,      -3.744476081,      -9.866965153
          0,           0,         162,      -5.846906562,      -4.023360435,      -4.227325621,      -3.767937513,      -9.863413493
          0,           0,         163,       -5.87965439,      -4.023982339,      -4.229901268,      -3.787948091,      -9.859675967
          0,           0,         164,      -5.908292295,      -4.024610896,      -4.232562892,      -3.805707079,      -9.855786925
          0,           0,         165,      -5.933398325,       -4.02526145,      -4.235193371,      -3.822970076,      -9.851786487
          0,           0,         166,      -5.955700098,      -4.025957939,      -4.237709576,      -3.841273432,      -9.847683305
          0,           0,         167,      -5.975155434,      -4.026729614,        -4.2400737,       -3.86129715,      -9.843473592
