"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         126,       -6.82049319,      -5.260245229,       -6.18214506,      -5.242709159,      -7.674969282
          0,           0,         127,      -6.818647201,      -5.265535116,      -6.185605326,      -5.247198295,      -7.673628699
          0,           0,         128,      -6.816823898,      -5.270680165,      -6.187861065,      -5.251527121,      -7.672727857
          0,           0,         129,      -6.815054401,       -5.27568213,      -6.188895801,      -5.255701776,       -7.67226634
          0,           0,         130,      -6.813369327,      -5.280544656,      -6.188720282,      -5.259729963,      -7.672230566
          0,           0,         131,      -6.811798319,      -5.285273291,      -6.187372889,      -5.263620647,      -7.672590874
          0,           0,         132,      -6.810369692,      -5.289875564,      -6.184918118,       -5.26738395,       -7.67334468
          0,           0,         133,      -6.809110106,      -5.294360985,      -6.181443462,      -5.271030926,       -7.67446516
          0,           0,         134,      -6.808044155,      -5.298740795,      -6.177055465,      -5.274573073,      -7.675951329
          0,           0,         135,      -6.807194765,      -5.303028072,      -6.171874837,      -5.278022682,       -7.67777512
          0,           0,         136,      -6.806582923,        -5.3072372,      -6.166031587,      -5.281392318,      -7.679929956
          0,           0,         137,      -6.806228088,      -5.311383911,      -6.159660422,      -5.284695167,      -7.682394553
          0,           0,         138,      -6.806148225,      -5.315484865,      -6.152896309,      -5.287944882,      -7.685173212
          0,           0,         139,       -6.80636008,      -5.319557461,      -6.145870715,      -5.291155742,      -7.688236587
          0,           0,         140,      -6.806879526,       -5.32361959,      -6.138708992,      -5.294342782,      -7.691576541
          0,           0,         141,       -6.80772149,      -5.327689412,      -6.131527973,      -5.297521689,      -7.695186149
          0,           0,         142,      -6.808900056,      -5.331785165,      -6.124434439,      -5.300708798,      -7.699051237
          0,           0,         143,      -6.810428453,      -5.335925003,      -6.117524254,      -5.303920996,        -7.7031459
          0,           0,         144,      -6.812319027,      -5.340126834,      -6.110882155,       -5.30717558,      -7.707459343
          0,           0,         145,      -6.814583197,      -5.344408124,      -6.104582013,      -5.310490048,      -7.711987492
          0,           0,         146,      -6.817231403,      -5.348785791,      -6.098687482,       -5.31388193,      -7.716718532
          0,           0,         147,      -6.820273093,       -5.35327614,      -6.093252892,      -5.317368641,      -7.721616424
          0,           0,         148,      -6.823716615,      -5.357894703,      -6.088324228,      -5.320967255,      -7.726695581
