"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         22,           9,      -7.913512303,      -3.902818264,      -3.814353655,      -2.129537889,      -3.735069034,      0.9329898399,      0.3783170688,      0.4726235305,                 0,                 0,                 0,     0.01477341385,      0.2236046649,      0.5625813363,                 0,       1.249278897,      0.3346148239,      -2.550468325,      -1.249513454,      -1.184701728,      -2.258627748,      -2.221512741,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         23,           9,      -7.829921401,       -3.88887406,      -3.711430122,      -2.151493732,      -3.728349149,      0.9329898399,      0.3619534522,      0.4799298967,                 0,                 0,                 0,    0.003341992407,      0.2058198857,      0.5647841906,                 0,       1.325943692,      0.3324209888,      -2.472576929,      -1.249001388,      -1.106513238,      -2.286335705,      -2.243137502,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         24,           9,      -7.735063966,      -3.834712984,      -3.621013161,      -2.080196585,      -3.696036493,      0.9329898399,      0.3578160909,      0.5237940337,                 0,                 0,                 0,    0.003457691282,      0.1890386749,       0.605522026,                 0,       1.463863831,      0.5669371524,       -2.38451099,      -1.207246649,      -1.041121477,      -2.221487565,       -2.23620465,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         25,           9,      -7.659906972,      -3.774262608,      -3.585158446,      -1.968289842,      -3.469003934,      0.9329898399,      0.3743156613,      0.6147804478,                 0,                 0,                 0,     0.02522742991,      0.1782154396,      0.6973567741,                 0,        1.64241177,      0.6780216428,      -2.317275536,      -1.159394667,      -1.030339999,      -2.116882967,      -2.033362073,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         26,           9,      -7.632971099,      -3.728302246,      -3.607359619,      -1.871140629,      -3.198822663,      0.9329898399,      0.4113987695,      0.7456095558,                 0,                 0,                 0,     0.06585347862,       0.175427463,      0.8333113238,                 0,       1.812376728,       0.780941283,      -2.299364621,      -1.127576518,      -1.077766319,      -2.028010207,      -1.800013016,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         27,           9,      -7.701221988,      -3.722392661,      -3.753441983,      -1.821851971,      -2.922704416,      0.9329898399,      0.4630815075,      0.8959370399,                 0,                 0,                 0,      0.1156865525,      0.1809004083,      0.9921807821,                 0,       1.934728607,      0.8756054023,      -2.377613421,      -1.137916201,      -1.249777091,      -1.987898067,      -1.570955373,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         28,           9,      -7.730039566,      -3.736250568,      -3.856262017,      -1.821302023,      -2.713690621,      0.9329898399,        0.51260333,       1.023208618,                 0,                 0,                 0,      0.1550792503,      0.1910477544,       1.128369977,                 0,       1.996102168,        1.01445145,      -2.417329527,      -1.169805343,      -1.379225912,      -1.997296499,      -1.415627024,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         29,           9,      -7.729659068,      -3.780350499,      -3.810355886,        -1.8576829,      -2.685488177,      0.9329898399,      0.5419702429,       1.088605557,                 0,                 0,                 0,      0.1665767975,      0.2000112584,       1.199495435,                 0,       2.008607615,        1.01967519,      -2.428701772,      -1.232641129,      -1.360666376,      -2.044247672,      -1.446130067,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         30,           9,      -7.719229087,      -3.814025617,         -3.663103,      -1.889842524,      -2.745449262,      0.9329898399,          0.553227,       1.089717297,                 0,                 0,                 0,      0.1572743511,      0.2104511075,       1.203849755,                 0,       1.969747132,       1.007699692,      -2.430817561,      -1.284630842,      -1.240628558,      -2.087516317,      -1.562339365,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         31,           9,      -7.658105426,      -3.829480936,       -3.56454122,      -1.899691545,      -2.635745438,      0.9329898399,      0.5522950494,       1.046498738,                 0,                 0,                 0,      0.1399739407,      0.2221957624,       1.162247166,                 0,       1.894818248,      0.9574942538,      -2.382923307,      -1.317419172,      -1.168946316,      -2.109025152,      -1.503115661,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
